catalogue_id,product,company,salt,dosage_form,pack,reference_price,discontinued,search_text
MED0191626,Rokcef 1000 mg/500 mg Injection,Astrum Healthcare Pvt  Ltd,,allopathy,,113.0,False,rokcef 1000 mg/500 mg injection |  | astrum healthcare pvt  ltd | allopathy | 
MED0191627,Ranpon Syrup,Sun Pharmaceutical Industries Ltd,,allopathy,,35.0,False,ranpon syrup |  | sun pharmaceutical industries ltd | allopathy | 
MED0191628,Rosukaa A 10/150 Capsule,Troikaa Pharmaceuticals Ltd,,allopathy,,73.7,False,rosukaa a 10/150 capsule |  | troikaa pharmaceuticals ltd | allopathy | 
MED0191629,Roximol 50mg Tablet,Torrent Pharmaceuticals Ltd,,allopathy,,40.0,True,roximol 50mg tablet |  | torrent pharmaceuticals ltd | allopathy | 
MED0191630,Raberay-DSR Capsule,Rayh Health Care,,allopathy,,60.0,False,raberay-dsr capsule |  | rayh health care | allopathy | 
MED0191631,Roxis 150mg Tablet,CHS Formulations,,allopathy,,55.0,False,roxis 150mg tablet |  | chs formulations | allopathy | 
MED0191632,Rugbi-DM 10mg/20mg Tablet,Shinto Organics (P) Limited,,allopathy,,59.0,False,rugbi-dm 10mg/20mg tablet |  | shinto organics (p) limited | allopathy | 
MED0191633,Rhz Forte 225 mg/150 mg/750 mg Tablet,Overseas Healthcare Pvt Ltd,,allopathy,,43.37,False,rhz forte 225 mg/150 mg/750 mg tablet |  | overseas healthcare pvt ltd | allopathy | 
MED0191634,Rhovir 800mg Tablet,Cure Quick Pharmaceuticals,,allopathy,,204.75,False,rhovir 800mg tablet |  | cure quick pharmaceuticals | allopathy | 
MED0191635,Rifinex Kid 100mg/50mg Tablet,Kopran Ltd,,allopathy,,16.25,False,rifinex kid 100mg/50mg tablet |  | kopran ltd | allopathy | 
MED0191636,Recozone-SB 1000mg/500mg Injection,Solitaire Pharmacia Pvt Ltd,,allopathy,,119.0,False,recozone-sb 1000mg/500mg injection |  | solitaire pharmacia pvt ltd | allopathy | 
MED0191637,Ronemox Kid 125mg Tablet,Abbott,,allopathy,,41.0,False,ronemox kid 125mg tablet |  | abbott | allopathy | 
MED0191638,Rabzo MSR 20mg/15mg Tablet,Alpic Biotech Ltd,,allopathy,,65.0,False,rabzo msr 20mg/15mg tablet |  | alpic biotech ltd | allopathy | 
MED0191639,Roxytab 150mg Tablet,Bewell Labs Pvt Ltd,,allopathy,,41.54,False,roxytab 150mg tablet |  | bewell labs pvt ltd | allopathy | 
MED0191640,Revored 100mg Injection,Metamorf Lifesciences,,allopathy,,261.81,False,revored 100mg injection |  | metamorf lifesciences | allopathy | 
MED0191641,Rinim Suspension,Medipol Pharmaceuticals India Pvt Ltd,,allopathy,,18.0,False,rinim suspension |  | medipol pharmaceuticals india pvt ltd | allopathy | 
MED0191642,Rabesole 20mg Tablet,Trost Medicare Pvt Ltd,,allopathy,,32.4,False,rabesole 20mg tablet |  | trost medicare pvt ltd | allopathy | 
MED0191643,Reflan 30mg Capsule,Saga Laboratories,,allopathy,,43.5,False,reflan 30mg capsule |  | saga laboratories | allopathy | 
MED0191644,Ricnac MR 100mg/325mg/250mg Tablet,Erika Remedies,,allopathy,,65.0,False,ricnac mr 100mg/325mg/250mg tablet |  | erika remedies | allopathy | 
MED0191645,Rifnac P 100mg/325mg Tablet,Cubiwell Lifesciences Pvt Ltd,,allopathy,,19.5,False,rifnac p 100mg/325mg tablet |  | cubiwell lifesciences pvt ltd | allopathy | 
MED0191646,Ronivox 500mg Tablet,Ronish Bioceuticals,,allopathy,,80.0,False,ronivox 500mg tablet |  | ronish bioceuticals | allopathy | 
MED0191647,Rabip-DSR Capsule,Nova Indus Pharmaceuticals,,allopathy,,80.0,False,rabip-dsr capsule |  | nova indus pharmaceuticals | allopathy | 
MED0191648,Rioflox 200 Tablet,Riomedica Healthcare Pvt Ltd,,allopathy,,55.0,False,rioflox 200 tablet |  | riomedica healthcare pvt ltd | allopathy | 
MED0191649,Rabdel 20mg Tablet,Metalis Lifesciences Pvt Ltd,,allopathy,,73.33,False,rabdel 20mg tablet |  | metalis lifesciences pvt ltd | allopathy | 
MED0191650,Rosunex F 160mg/10mg Tablet,Solveig Lifesciences,,allopathy,,160.0,False,rosunex f 160mg/10mg tablet |  | solveig lifesciences | allopathy | 
MED0191651,Roxithral 150mg Tablet,Innovative Pharmaceuticals,,allopathy,,59.5,False,roxithral 150mg tablet |  | innovative pharmaceuticals | allopathy | 
MED0191652,Rabemind 20mg Tablet,Allminds Labs Pvt Ltd,,allopathy,,40.0,False,rabemind 20mg tablet |  | allminds labs pvt ltd | allopathy | 
MED0191653,Ramimax 2.5mg Capsule,Biomax Laboratories,,allopathy,,41.0,False,ramimax 2.5mg capsule |  | biomax laboratories | allopathy | 
MED0191654,Rafcort 6mg Tablet,Haustus Biotech Pvt Ltd,,allopathy,,96.5,False,rafcort 6mg tablet |  | haustus biotech pvt ltd | allopathy | 
MED0191655,Rifantos 550 Tablet,Osiante Biotech,,allopathy,,368.0,False,rifantos 550 tablet |  | osiante biotech | allopathy | 
MED0191656,Rowpax 20mg Tablet,Rowlinges Life Science,,allopathy,,90.0,False,rowpax 20mg tablet |  | rowlinges life science | allopathy | 
MED0191657,Rabee D 30mg/20mg Capsule SR,Man Serve Pharma,,allopathy,,133.0,False,rabee d 30mg/20mg capsule sr |  | man serve pharma | allopathy | 
MED0191658,Reaczine ML 5mg/10mg Tablet,Henry Pharmaceuticals,,allopathy,,95.0,False,reaczine ml 5mg/10mg tablet |  | henry pharmaceuticals | allopathy | 
MED0191659,Rifakos 400mg Tablet,Elkos Healthcare Pvt Ltd,,allopathy,,275.0,False,rifakos 400mg tablet |  | elkos healthcare pvt ltd | allopathy | 
MED0191660,Roxtil 250 Tablet,Mediva Lifecare,,allopathy,,130.0,False,roxtil 250 tablet |  | mediva lifecare | allopathy | 
MED0191661,Rablay 20mg Tablet,Zenotis Healthcare,,allopathy,,53.0,False,rablay 20mg tablet |  | zenotis healthcare | allopathy | 
MED0191662,Ransod 2mg Tablet MD,Consern Pharma Limited,,allopathy,,36.5,False,ransod 2mg tablet md |  | consern pharma limited | allopathy | 
