catalogue_id,product,company,salt,dosage_form,pack,reference_price,discontinued,search_text
MED0249450,Zelpar Plus Syrup,Zelnic Biotech Pvt Ltd,,allopathy,,42.0,False,zelpar plus syrup |  | zelnic biotech pvt ltd | allopathy | 
MED0249451,Zelmox D Capsule,Zelnic Biotech Pvt Ltd,,allopathy,,80.0,False,zelmox d capsule |  | zelnic biotech pvt ltd | allopathy | 
MED0249452,Zathcin 500mg Tablet,Garwyn Remedies,,allopathy,,64.0,False,zathcin 500mg tablet |  | garwyn remedies | allopathy | 
MED0249453,Zidfen MR 250mg/50mg/500mg Tablet,Zidwell Healthcare,,allopathy,,40.0,False,zidfen mr 250mg/50mg/500mg tablet |  | zidwell healthcare | allopathy | 
MED0249454,Zolith 250mg Tablet,Zota Pharmaceuticals Pvt Ltd,,allopathy,,20.0,False,zolith 250mg tablet |  | zota pharmaceuticals pvt ltd | allopathy | 
MED0249455,Zymofix 90mg/48mg/100mg Tablet,Simpex Pharma Pvt Ltd,,allopathy,,199.0,False,zymofix 90mg/48mg/100mg tablet |  | simpex pharma pvt ltd | allopathy | 
MED0249456,Zoxinace Plus 100mg/325mg Tablet,Zoxvina Biotech Private Limited,,allopathy,,99.0,False,zoxinace plus 100mg/325mg tablet |  | zoxvina biotech private limited | allopathy | 
MED0249457,Zytrax O 200mg/200mg Tablet,Vytrax Healthcare,,allopathy,,200.0,False,zytrax o 200mg/200mg tablet |  | vytrax healthcare | allopathy | 
MED0249458,Zucipro 500mg Tablet,Zuventus Healthcare Ltd,,allopathy,,58.85,True,zucipro 500mg tablet |  | zuventus healthcare ltd | allopathy | 
MED0249459,Zimtaz Injection,Hetero Drugs Ltd,,allopathy,,80.95,False,zimtaz injection |  | hetero drugs ltd | allopathy | 
MED0249460,Zigaf 250mg Tablet,Signova Pharma Pvt Ltd,,allopathy,,68.59,False,zigaf 250mg tablet |  | signova pharma pvt ltd | allopathy | 
MED0249461,Zimfix Dry Syrup,Wintech Pharmaceuticals,,allopathy,,55.0,False,zimfix dry syrup |  | wintech pharmaceuticals | allopathy | 
MED0249462,Zithromin 250mg Tablet,Taj Pharma India Ltd,,allopathy,,77.0,False,zithromin 250mg tablet |  | taj pharma india ltd | allopathy | 
MED0249463,Zycopin 5mg Tablet,Sykocure Lifesciences,,allopathy,,34.0,False,zycopin 5mg tablet |  | sykocure lifesciences | allopathy | 
MED0249464,ZYTHAM 400MG TABLET,Zydus Healthcare Limited,,allopathy,,19.0,False,zytham 400mg tablet |  | zydus healthcare limited | allopathy | 
MED0249465,Zocin TZ 200 mg/600 mg Tablet,Winsome Laboratories Pvt Ltd,,allopathy,,70.4,False,zocin tz 200 mg/600 mg tablet |  | winsome laboratories pvt ltd | allopathy | 
MED0249466,Zevid TZ 200 mg/600 mg Tablet,Zee Laboratories,,allopathy,,85.0,False,zevid tz 200 mg/600 mg tablet |  | zee laboratories | allopathy | 
MED0249467,Zolorel 1mg Tablet,Group Pharmaceuticals Ltd,,allopathy,,872.76,False,zolorel 1mg tablet |  | group pharmaceuticals ltd | allopathy | 
MED0249468,Zondel 2mg/5ml Syrup,Veritaz Healthcare Ltd,,allopathy,,34.82,False,zondel 2mg/5ml syrup |  | veritaz healthcare ltd | allopathy | 
MED0249469,Zyclav Kid 200 mg/28.5 mg Tablet,Divine Lifecare Pvt Ltd,,allopathy,,85.0,False,zyclav kid 200 mg/28.5 mg tablet |  | divine lifecare pvt ltd | allopathy | 
MED0249470,Zylocef 250mg Injection,Alde Medi Impex Ltd,,allopathy,,27.67,False,zylocef 250mg injection |  | alde medi impex ltd | allopathy | 
MED0249471,Zypeak M Tablet SR,Aagam Life Sciences Pvt Ltd,,allopathy,,75.42,False,zypeak m tablet sr |  | aagam life sciences pvt ltd | allopathy | 
MED0249472,Zemat 200mg Tablet,Zeemat Pharmaceuticals Pvt Ltd,,allopathy,,48.0,False,zemat 200mg tablet |  | zeemat pharmaceuticals pvt ltd | allopathy | 
MED0249473,Zoran OZ Syrup,Zerdia Healthcare Pvt. Ltd.,,allopathy,,45.0,False,zoran oz syrup |  | zerdia healthcare pvt. ltd. | allopathy | 
MED0249474,Zestoclav CV Dry Syrup,Aerozest Life Science,,allopathy,,61.0,False,zestoclav cv dry syrup |  | aerozest life science | allopathy | 
MED0249475,Zipmectin 12mg Tablet,Curezip Pharma Pvt. Ltd.,,allopathy,,225.0,False,zipmectin 12mg tablet |  | curezip pharma pvt. ltd. | allopathy | 
MED0249476,Zeridox 100mg Oral Suspension,Zering Smith Lifesciences,,allopathy,,110.0,False,zeridox 100mg oral suspension |  | zering smith lifesciences | allopathy | 
MED0249477,Zetax-AZ Tablet,Dynamed Pharmaceuticals Pvt Ltd,,allopathy,,188.4,False,zetax-az tablet |  | dynamed pharmaceuticals pvt ltd | allopathy | 
MED0249478,Zetax O 100mg Tablet DT,Dynamed Pharmaceuticals Pvt Ltd,,allopathy,,87.5,False,zetax o 100mg tablet dt |  | dynamed pharmaceuticals pvt ltd | allopathy | 
MED0249479,Zolamed 0.25mg Tablet,Medirin Pharmaceuticals Pvt Ltd,,allopathy,,34.0,False,zolamed 0.25mg tablet |  | medirin pharmaceuticals pvt ltd | allopathy | 
MED0249480,Zemocef 250mg Tablet,Grapple Life Sciences Pvt Ltd,,allopathy,,250.0,False,zemocef 250mg tablet |  | grapple life sciences pvt ltd | allopathy | 
MED0249481,Zisper 3mg Tablet MD,Torrent Pharmaceuticals Ltd,,allopathy,,30.0,False,zisper 3mg tablet md |  | torrent pharmaceuticals ltd | allopathy | 
MED0249482,Zanfu 250mg Tablet,Ambience Pharma,,allopathy,,240.0,False,zanfu 250mg tablet |  | ambience pharma | allopathy | 
MED0249483,Zanpick L 75mg/40mg Capsule SR,Ambience Pharma,,allopathy,,160.0,False,zanpick l 75mg/40mg capsule sr |  | ambience pharma | allopathy | 
MED0249484,Zylovas F 10mg/160mg Tablet,Zylig Lifesciences,,allopathy,,175.0,False,zylovas f 10mg/160mg tablet |  | zylig lifesciences | allopathy | 
MED0249485,Zatrocet 5mg Tablet,Zatropha Pharma,,allopathy,,36.0,False,zatrocet 5mg tablet |  | zatropha pharma | allopathy | 
MED0249486,Zopump 20mg Tablet,Medrix Pharma Pvt Ltd,,allopathy,,59.0,False,zopump 20mg tablet |  | medrix pharma pvt ltd | allopathy | 
MED0249487,Zustback 60 Injection,Biophar Lifesciences Pvt Ltd,,allopathy,,575.0,False,zustback 60 injection |  | biophar lifesciences pvt ltd | allopathy | 
